"Host","Host_Upham"
"gardnerycteris crenulatum","Mimon crenulatum"
"glauconycteris argentata","Glauconycteris argentata"
"glossophaga commissarisi","Glossophaga commissarisi"
"glossophaga longirostris","Glossophaga longirostris"
"glossophaga morenoi","Glossophaga morenoi"
"glossophaga soricina","Glossophaga soricina"
"hipposideros abae","Hipposideros abae"
"hipposideros armiger","Hipposideros armiger"
"hipposideros bicolor","Hipposideros bicolor"
"hipposideros caffer","Hipposideros caffer"
"hipposideros cineraceus","Hipposideros cineraceus"
"hipposideros crumeniferus","Hipposideros crumeniferus"
"hipposideros diadema","Hipposideros diadema"
"hipposideros lankadiva","Hipposideros lankadiva"
"hipposideros larvatus","Hipposideros larvatus"
"hipposideros pomona","Hipposideros pomona"
"hipposideros ruber","Hipposideros ruber"
"hipposideros speoris","Hipposideros speoris"
"histiotus macrotus","Histiotus macrotus"
"histiotus montanus","Histiotus montanus"
"histiotus velatus","Histiotus velatus"
"hypsignathus monstrosus","Hypsignathus monstrosus"
"hypsugo savii","Pipistrellus savii"
"ia io","Ia io"
"lasionycteris noctivagans","Lasionycteris noctivagans"
"lasiurus blossevillii","Lasiurus blossevillii"
"lasiurus borealis","Lasiurus borealis"
"lasiurus seminolus","Lasiurus seminolus"
"leptonycteris curasoae","Leptonycteris curasoae"
"leptonycteris nivalis","Leptonycteris nivalis"
"lissonycteris angolensis","Myonycteris angolensis"
"lonchophylla robusta","Lonchophylla robusta"
"lonchorhina aurita","Lonchorhina aurita"
"lophostoma brasiliense","Lophostoma brasiliense"
"lophostoma silvicolum","Lophostoma silvicolum"
"macroglossus minimus","Macroglossus minimus"
"macronycteris commersoni","Hipposideros commersoni"
"macrotus californicus","Macrotus californicus"
"megaderma lyra","Megaderma lyra"
"micronycteris megalotis","Micronycteris megalotis"
"micropteropus pusillus","Micropteropus pusillus"
"miniopterus fuliginosus","Miniopterus fuliginosus"
"miniopterus inflatus","Miniopterus inflatus"
"miniopterus magnater","Miniopterus magnater"
"miniopterus pusillus","Miniopterus pusillus"
"miniopterus schreibersii","Miniopterus schreibersii"
"molossops neglectus","Molossops neglectus"
"molossus molossus","Molossus molossus"
"molossus rufus","Molossus rufus"
"mops condylurus","Mops condylurus"
"mormoops megalophylla","Mormoops megalophylla"
"murina aurata","Murina aurata"
"murina leucogaster","Murina leucogaster"
"myonycteris torquata","Myonycteris torquata"
"myotis albescens","Myotis albescens"
"myotis austroriparius","Myotis austroriparius"
"myotis bechsteinii","Myotis bechsteinii"
"myotis blythii","Myotis blythii"
"myotis californicus","Myotis californicus"
"myotis capaccinii","Myotis capaccinii"
"myotis chiloensis","Myotis chiloensis"
"myotis chinensis","Myotis chinensis"
"myotis dasycneme","Myotis dasycneme"
"myotis daubentonii","Myotis daubentonii"
"myotis evotis","Myotis evotis"
"myotis grisescens","Myotis grisescens"
"myotis horsfieldii","Myotis horsfieldii"
"myotis keenii","Myotis keenii"
"myotis leibii","Myotis leibii"
"myotis levis","Myotis levis"
"myotis lucifugus","Myotis lucifugus"
"myotis macrodactylus","Myotis macrodactylus"
"myotis myotis","Myotis myotis"
"myotis mystacinus","Myotis mystacinus"
"myotis nattereri","Myotis nattereri"
"myotis nigricans","Myotis nigricans"
"myotis ricketti","Myotis pilosus"
"myotis riparius","Myotis riparius"
"myotis septentrionalis","Myotis septentrionalis"
"myotis thysanodes","Myotis thysanodes"
"myotis velifer","Myotis velifer"
"myotis volans","Myotis volans"
"myotis yumanensis","Myotis yumanensis"
"natalus stramineus","Natalus stramineus"
"natalus tumidirostris","Natalus tumidirostris"
"nyctalus noctula","Nyctalus noctula"
"nycteris gambiensis","Nycteris gambiensis"
"nycteris nana","Nycteris nana"
"nycteris thebaica","Nycteris thebaica"
"nycticeius humeralis","Nycticeius humeralis"
